run_dir,iteration,scom_size,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim97_t5,1,99201,rbf_riblt,5,0.97,sweep_rbf_riblt_n100000_sim97_t5
sweep_rbf_riblt_n100000_sim99_t1,1,99762,rbf_riblt,1,0.99,sweep_rbf_riblt_n100000_sim99_t1
sweep_rbf_riblt_n100000_sim99_t1,1,99752,rbf_riblt,1,0.99,sweep_rbf_riblt_n100000_sim99_t1
sweep_rbf_riblt_n100000_sim99_t2,1,99756,rbf_riblt,2,0.99,sweep_rbf_riblt_n100000_sim99_t2
sweep_rbf_riblt_n100000_sim99_t2,1,99750,rbf_riblt,2,0.99,sweep_rbf_riblt_n100000_sim99_t2
sweep_rbf_riblt_n100000_sim99_t3,1,99774,rbf_riblt,3,0.99,sweep_rbf_riblt_n100000_sim99_t3
sweep_rbf_riblt_n100000_sim99_t3,1,99751,rbf_riblt,3,0.99,sweep_rbf_riblt_n100000_sim99_t3
sweep_rbf_riblt_n100000_sim99_t4,1,99729,rbf_riblt,4,0.99,sweep_rbf_riblt_n100000_sim99_t4
sweep_rbf_riblt_n100000_sim99_t4,1,99751,rbf_riblt,4,0.99,sweep_rbf_riblt_n100000_sim99_t4
sweep_rbf_riblt_n100000_sim99_t5,1,99755,rbf_riblt,5,0.99,sweep_rbf_riblt_n100000_sim99_t5
sweep_rbf_riblt_n100000_sim99_t5,1,99743,rbf_riblt,5,0.99,sweep_rbf_riblt_n100000_sim99_t5
sweep_rbf_riblt_n100000_sim100_t1,1,100000,rbf_riblt,1,1,sweep_rbf_riblt_n100000_sim100_t1
sweep_rbf_riblt_n100000_sim100_t1,1,100000,rbf_riblt,1,1,sweep_rbf_riblt_n100000_sim100_t1
sweep_rbf_riblt_n100000_sim100_t2,1,100000,rbf_riblt,2,1,sweep_rbf_riblt_n100000_sim100_t2
sweep_rbf_riblt_n100000_sim100_t2,1,100000,rbf_riblt,2,1,sweep_rbf_riblt_n100000_sim100_t2
sweep_rbf_riblt_n100000_sim100_t3,1,100000,rbf_riblt,3,1,sweep_rbf_riblt_n100000_sim100_t3
sweep_rbf_riblt_n100000_sim100_t3,1,100000,rbf_riblt,3,1,sweep_rbf_riblt_n100000_sim100_t3
sweep_rbf_riblt_n100000_sim100_t4,1,100000,rbf_riblt,4,1,sweep_rbf_riblt_n100000_sim100_t4
sweep_rbf_riblt_n100000_sim100_t4,1,100000,rbf_riblt,4,1,sweep_rbf_riblt_n100000_sim100_t4
sweep_rbf_riblt_n100000_sim100_t5,1,100000,rbf_riblt,5,1,sweep_rbf_riblt_n100000_sim100_t5
sweep_rbf_riblt_n100000_sim100_t5,1,100000,rbf_riblt,5,1,sweep_rbf_riblt_n100000_sim100_t5
