run_dir,iteration,timestamp,round_trips,protocol,trial,similarity,run_id,similarity_numeric
sweep_rbf_riblt_n100000_sim75_t3,1,4307,398,rbf_riblt,3,0.75,sweep_rbf_riblt_n100000_sim75_t3,0.75
sweep_rbf_riblt_n100000_sim75_t3,1,4312,49,rbf_riblt,3,0.75,sweep_rbf_riblt_n100000_sim75_t3,0.75
sweep_rbf_riblt_n100000_sim75_t4,1,4487,412,rbf_riblt,4,0.75,sweep_rbf_riblt_n100000_sim75_t4,0.75
sweep_rbf_riblt_n100000_sim75_t4,1,4566,128,rbf_riblt,4,0.75,sweep_rbf_riblt_n100000_sim75_t4,0.75
sweep_rbf_riblt_n100000_sim75_t5,1,4616,436,rbf_riblt,5,0.75,sweep_rbf_riblt_n100000_sim75_t5,0.75
sweep_rbf_riblt_n100000_sim75_t5,1,4739,109,rbf_riblt,5,0.75,sweep_rbf_riblt_n100000_sim75_t5,0.75
sweep_riblt_n100000_sim80_t1,1,4156,1283,riblt,1,0.8,sweep_riblt_n100000_sim80_t1,0.8
sweep_riblt_n100000_sim80_t1,1,4161,1343,riblt,1,0.8,sweep_riblt_n100000_sim80_t1,0.8
sweep_riblt_n100000_sim80_t2,1,4065,1427,riblt,2,0.8,sweep_riblt_n100000_sim80_t2,0.8
sweep_riblt_n100000_sim80_t2,1,4069,1234,riblt,2,0.8,sweep_riblt_n100000_sim80_t2,0.8
sweep_riblt_n100000_sim80_t3,1,4013,1408,riblt,3,0.8,sweep_riblt_n100000_sim80_t3,0.8
sweep_riblt_n100000_sim80_t3,1,4017,1334,riblt,3,0.8,sweep_riblt_n100000_sim80_t3,0.8
sweep_riblt_n100000_sim80_t4,1,4493,1250,riblt,4,0.8,sweep_riblt_n100000_sim80_t4,0.8
sweep_riblt_n100000_sim80_t4,1,4497,1185,riblt,4,0.8,sweep_riblt_n100000_sim80_t4,0.8
sweep_riblt_n100000_sim80_t5,1,4450,1192,riblt,5,0.8,sweep_riblt_n100000_sim80_t5,0.8
sweep_riblt_n100000_sim80_t5,1,4564,1340,riblt,5,0.8,sweep_riblt_n100000_sim80_t5,0.8
sweep_merkle_n100000_sim80_t1,1,2592,63,merkle,1,0.8,sweep_merkle_n100000_sim80_t1,0.8
sweep_merkle_n100000_sim80_t1,1,2608,63,merkle,1,0.8,sweep_merkle_n100000_sim80_t1,0.8
sweep_merkle_n100000_sim80_t2,1,2556,63,merkle,2,0.8,sweep_merkle_n100000_sim80_t2,0.8
sweep_merkle_n100000_sim80_t2,1,2581,63,merkle,2,0.8,sweep_merkle_n100000_sim80_t2,0.8
sweep_merkle_n100000_sim80_t3,1,2392,63,merkle,3,0.8,sweep_merkle_n100000_sim80_t3,0.8
sweep_merkle_n100000_sim80_t3,1,2397,63,merkle,3,0.8,sweep_merkle_n100000_sim80_t3,0.8
sweep_merkle_n100000_sim80_t4,1,2424,63,merkle,4,0.8,sweep_merkle_n100000_sim80_t4,0.8
sweep_merkle_n100000_sim80_t4,1,2459,63,merkle,4,0.8,sweep_merkle_n100000_sim80_t4,0.8
sweep_merkle_n100000_sim80_t5,1,2366,63,merkle,5,0.8,sweep_merkle_n100000_sim80_t5,0.8
sweep_merkle_n100000_sim80_t5,1,2422,63,merkle,5,0.8,sweep_merkle_n100000_sim80_t5,0.8
sweep_rbf_riblt_n100000_sim80_t1,1,4036,348,rbf_riblt,1,0.8,sweep_rbf_riblt_n100000_sim80_t1,0.8
