run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_rbf_riblt_n100000_sim90_t2,rbf_riblt,2,0.9,1,150020096,0.9,143.0703125
sweep_rbf_riblt_n100000_sim90_t3,rbf_riblt,3,0.9,1,144719872,0.9,138.015625
sweep_rbf_riblt_n100000_sim90_t4,rbf_riblt,4,0.9,1,133668864,0.9,127.4765625
sweep_rbf_riblt_n100000_sim90_t5,rbf_riblt,5,0.9,1,148238336,0.9,141.37109375
sweep_rbf_riblt_n100000_sim95_t1,rbf_riblt,1,0.95,1,109887488,0.95,104.796875
sweep_rbf_riblt_n100000_sim95_t2,rbf_riblt,2,0.95,1,142606336,0.95,136.0
sweep_rbf_riblt_n100000_sim95_t3,rbf_riblt,3,0.95,1,128393216,0.95,122.4453125
sweep_rbf_riblt_n100000_sim95_t4,rbf_riblt,4,0.95,1,136507392,0.95,130.18359375
sweep_rbf_riblt_n100000_sim95_t5,rbf_riblt,5,0.95,1,134275072,0.95,128.0546875
sweep_rbf_riblt_n100000_sim97_t1,rbf_riblt,1,0.97,1,130076672,0.97,124.05078125
sweep_rbf_riblt_n100000_sim97_t2,rbf_riblt,2,0.97,1,148811776,0.97,141.91796875
sweep_rbf_riblt_n100000_sim97_t3,rbf_riblt,3,0.97,1,138915840,0.97,132.48046875
sweep_rbf_riblt_n100000_sim97_t4,rbf_riblt,4,0.97,1,116191232,0.97,110.80859375
sweep_rbf_riblt_n100000_sim97_t5,rbf_riblt,5,0.97,1,127811584,0.97,121.890625
sweep_rbf_riblt_n100000_sim99_t1,rbf_riblt,1,0.99,1,127549440,0.99,121.640625
sweep_rbf_riblt_n100000_sim99_t2,rbf_riblt,2,0.99,1,143327232,0.99,136.6875
sweep_rbf_riblt_n100000_sim99_t3,rbf_riblt,3,0.99,1,121831424,0.99,116.1875
sweep_rbf_riblt_n100000_sim99_t4,rbf_riblt,4,0.99,1,147619840,0.99,140.78125
sweep_rbf_riblt_n100000_sim99_t5,rbf_riblt,5,0.99,1,122515456,0.99,116.83984375
sweep_riblt_n100000_sim00_t1,riblt,1,0,1,487886848,0.0,465.28515625
sweep_riblt_n100000_sim00_t2,riblt,2,0,1,474574848,0.0,452.58984375
sweep_riblt_n100000_sim00_t3,riblt,3,0,1,479481856,0.0,457.26953125
sweep_riblt_n100000_sim00_t4,riblt,4,0,1,485863424,0.0,463.35546875
sweep_riblt_n100000_sim00_t5,riblt,5,0,1,476418048,0.0,454.34765625
sweep_riblt_n100000_sim05_t1,riblt,1,0.05,1,427704320,0.05,407.890625
sweep_riblt_n100000_sim05_t2,riblt,2,0.05,1,439971840,0.05,419.58984375
sweep_riblt_n100000_sim05_t3,riblt,3,0.05,1,461443072,0.05,440.06640625
sweep_riblt_n100000_sim05_t4,riblt,4,0.05,1,458625024,0.05,437.37890625
sweep_riblt_n100000_sim05_t5,riblt,5,0.05,1,439431168,0.05,419.07421875
sweep_riblt_n100000_sim100_t1,riblt,1,1,1,158048256,1.0,150.7265625
sweep_riblt_n100000_sim100_t2,riblt,2,1,1,158453760,1.0,151.11328125
sweep_riblt_n100000_sim100_t3,riblt,3,1,1,158285824,1.0,150.953125
sweep_riblt_n100000_sim100_t4,riblt,4,1,1,168443904,1.0,160.640625
sweep_riblt_n100000_sim100_t5,riblt,5,1,1,157777920,1.0,150.46875
sweep_riblt_n100000_sim10_t1,riblt,1,0.1,1,420618240,0.1,401.1328125
sweep_riblt_n100000_sim10_t2,riblt,2,0.1,1,423825408,0.1,404.19140625
sweep_riblt_n100000_sim10_t3,riblt,3,0.1,1,422449152,0.1,402.87890625
sweep_riblt_n100000_sim10_t4,riblt,4,0.1,1,423985152,0.1,404.34375
sweep_riblt_n100000_sim10_t5,riblt,5,0.1,1,438771712,0.1,418.4453125
sweep_riblt_n100000_sim20_t1,riblt,1,0.2,1,383086592,0.2,365.33984375
sweep_riblt_n100000_sim20_t2,riblt,2,0.2,1,391827456,0.2,373.67578125
sweep_riblt_n100000_sim20_t3,riblt,3,0.2,1,392630272,0.2,374.44140625
sweep_riblt_n100000_sim20_t4,riblt,4,0.2,1,385236992,0.2,367.390625
sweep_riblt_n100000_sim20_t5,riblt,5,0.2,1,379981824,0.2,362.37890625
sweep_riblt_n100000_sim30_t1,riblt,1,0.3,1,346734592,0.3,330.671875
sweep_riblt_n100000_sim30_t2,riblt,2,0.3,1,339914752,0.3,324.16796875
sweep_riblt_n100000_sim30_t3,riblt,3,0.3,1,350400512,0.3,334.16796875
sweep_riblt_n100000_sim30_t4,riblt,4,0.3,1,338567168,0.3,322.8828125
sweep_riblt_n100000_sim30_t5,riblt,5,0.3,1,343392256,0.3,327.484375
sweep_riblt_n100000_sim40_t1,riblt,1,0.4,1,311070720,0.4,296.66015625
sweep_riblt_n100000_sim40_t2,riblt,2,0.4,1,304336896,0.4,290.23828125
sweep_riblt_n100000_sim40_t3,riblt,3,0.4,1,307236864,0.4,293.00390625
sweep_riblt_n100000_sim40_t4,riblt,4,0.4,1,312541184,0.4,298.0625
sweep_riblt_n100000_sim40_t5,riblt,5,0.4,1,311025664,0.4,296.6171875
