run_dir,iteration,bloom_slices,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim20_t3,1,4,rbf_riblt,3,0.2,sweep_rbf_riblt_n100000_sim20_t3
sweep_rbf_riblt_n100000_sim20_t3,1,6,rbf_riblt,3,0.2,sweep_rbf_riblt_n100000_sim20_t3
sweep_rbf_riblt_n100000_sim20_t4,1,4,rbf_riblt,4,0.2,sweep_rbf_riblt_n100000_sim20_t4
sweep_rbf_riblt_n100000_sim20_t4,1,6,rbf_riblt,4,0.2,sweep_rbf_riblt_n100000_sim20_t4
sweep_rbf_riblt_n100000_sim20_t5,1,4,rbf_riblt,5,0.2,sweep_rbf_riblt_n100000_sim20_t5
sweep_rbf_riblt_n100000_sim20_t5,1,6,rbf_riblt,5,0.2,sweep_rbf_riblt_n100000_sim20_t5
sweep_rbf_riblt_n100000_sim20_t6,1,4,rbf_riblt,6,0.2,sweep_rbf_riblt_n100000_sim20_t6
sweep_rbf_riblt_n100000_sim20_t6,1,6,rbf_riblt,6,0.2,sweep_rbf_riblt_n100000_sim20_t6
sweep_rbf_riblt_n100000_sim20_t7,1,4,rbf_riblt,7,0.2,sweep_rbf_riblt_n100000_sim20_t7
sweep_rbf_riblt_n100000_sim20_t7,1,6,rbf_riblt,7,0.2,sweep_rbf_riblt_n100000_sim20_t7
sweep_rbf_riblt_n100000_sim20_t8,1,4,rbf_riblt,8,0.2,sweep_rbf_riblt_n100000_sim20_t8
sweep_rbf_riblt_n100000_sim20_t8,1,6,rbf_riblt,8,0.2,sweep_rbf_riblt_n100000_sim20_t8
sweep_rbf_riblt_n100000_sim20_t9,1,4,rbf_riblt,9,0.2,sweep_rbf_riblt_n100000_sim20_t9
sweep_rbf_riblt_n100000_sim20_t9,1,6,rbf_riblt,9,0.2,sweep_rbf_riblt_n100000_sim20_t9
sweep_rbf_riblt_n100000_sim20_t10,1,4,rbf_riblt,10,0.2,sweep_rbf_riblt_n100000_sim20_t10
sweep_rbf_riblt_n100000_sim20_t10,1,6,rbf_riblt,10,0.2,sweep_rbf_riblt_n100000_sim20_t10
sweep_rbf_riblt_n100000_sim20_t11,1,4,rbf_riblt,11,0.2,sweep_rbf_riblt_n100000_sim20_t11
sweep_rbf_riblt_n100000_sim20_t11,1,6,rbf_riblt,11,0.2,sweep_rbf_riblt_n100000_sim20_t11
sweep_rbf_riblt_n100000_sim20_t12,1,4,rbf_riblt,12,0.2,sweep_rbf_riblt_n100000_sim20_t12
sweep_rbf_riblt_n100000_sim20_t12,1,6,rbf_riblt,12,0.2,sweep_rbf_riblt_n100000_sim20_t12
sweep_rbf_riblt_n100000_sim20_t13,1,4,rbf_riblt,13,0.2,sweep_rbf_riblt_n100000_sim20_t13
sweep_rbf_riblt_n100000_sim20_t13,1,6,rbf_riblt,13,0.2,sweep_rbf_riblt_n100000_sim20_t13
sweep_rbf_riblt_n100000_sim20_t14,1,4,rbf_riblt,14,0.2,sweep_rbf_riblt_n100000_sim20_t14
sweep_rbf_riblt_n100000_sim20_t14,1,6,rbf_riblt,14,0.2,sweep_rbf_riblt_n100000_sim20_t14
sweep_rbf_riblt_n100000_sim20_t15,1,4,rbf_riblt,15,0.2,sweep_rbf_riblt_n100000_sim20_t15
sweep_rbf_riblt_n100000_sim20_t15,1,6,rbf_riblt,15,0.2,sweep_rbf_riblt_n100000_sim20_t15
sweep_rbf_riblt_n100000_sim20_t16,1,4,rbf_riblt,16,0.2,sweep_rbf_riblt_n100000_sim20_t16
sweep_rbf_riblt_n100000_sim20_t16,1,6,rbf_riblt,16,0.2,sweep_rbf_riblt_n100000_sim20_t16
sweep_rbf_riblt_n100000_sim20_t17,1,4,rbf_riblt,17,0.2,sweep_rbf_riblt_n100000_sim20_t17
sweep_rbf_riblt_n100000_sim20_t17,1,6,rbf_riblt,17,0.2,sweep_rbf_riblt_n100000_sim20_t17
sweep_rbf_riblt_n100000_sim20_t18,1,4,rbf_riblt,18,0.2,sweep_rbf_riblt_n100000_sim20_t18
sweep_rbf_riblt_n100000_sim20_t18,1,6,rbf_riblt,18,0.2,sweep_rbf_riblt_n100000_sim20_t18
sweep_rbf_riblt_n100000_sim20_t19,1,4,rbf_riblt,19,0.2,sweep_rbf_riblt_n100000_sim20_t19
sweep_rbf_riblt_n100000_sim20_t19,1,6,rbf_riblt,19,0.2,sweep_rbf_riblt_n100000_sim20_t19
